city,cloudiness,lat,long,country,date,humidity,max_temp,wind_speed
topolobampo,5.0,25.6,-109.05,MX,1586742581.0,35.0,71.6,21.92
vermilion,90.0,40.17,-87.75,US,1586742796.0,87.0,57.2,5.7
jhang,40.0,33.67,72.7,PK,1586742796.0,77.0,70.0,2.17
coihaique,68.0,-45.58,-72.07,CL,1586742519.0,76.0,48.2,2.24
san patricio,20.0,19.22,-104.7,MX,1586742796.0,73.0,77.0,11.41
kholtoson,100.0,50.3,103.31,RU,1586742796.0,44.0,37.72,3.53
nemuro,75.0,43.32,145.57,JP,1586742796.0,64.0,39.2,6.93
great yarmouth,100.0,52.61,1.73,GB,1586742796.0,87.0,46.4,21.92
kirkenaer,35.0,60.46,12.06,NO,1586742796.0,40.0,35.6,14.99
pacific grove,90.0,36.62,-121.92,US,1586742797.0,87.0,59.0,6.93
lagoa,31.0,39.05,-27.98,PT,1586742797.0,81.0,60.66,11.03
cacapava do sul,0.0,-30.51,-53.49,BR,1586742797.0,89.0,52.23,4.07
grants pass,1.0,42.44,-123.33,US,1586742797.0,11.0,69.8,10.29
mandera,94.0,3.94,41.87,KE,1586742797.0,14.0,75.99,3.0
iranshahr,100.0,27.2,60.68,IR,1586742797.0,27.0,79.93,0.69
kabansk,40.0,52.05,106.65,RU,1586742797.0,60.0,39.2,2.24
zhanaozen,0.0,43.3,52.8,KZ,1586742456.0,57.0,41.85,9.93
nowa sol,87.0,51.8,15.72,PL,1586742798.0,58.0,55.0,1.01
beringovskiy,100.0,63.05,179.32,RU,1586742798.0,95.0,18.5,7.85
terrasini,5.0,38.15,13.08,IT,1586742798.0,93.0,61.0,11.41
catuday,85.0,16.29,119.81,PH,1586742522.0,70.0,80.8,9.53
ampanihy,0.0,-24.7,44.75,MG,1586742798.0,66.0,71.24,4.81
